ALDH1A1	1	NP_000680.2	ALDH1A1	1	NP_000680.2	in vivo;yeast 2-hybrid
ITGA7	2761	NP_001138468.1	CHRNA1	7	NP_001034612.1	in vivo
PPP1R9A	16000	NP_060120.2	ACTG1	17	NP_001605.1	in vitro;in vivo
SRGN	1513	NP_002718.2	CD44	115	NP_000601.3	in vivo
GRB7	3311	NP_005301.2	ERBB2	1281	NP_004439.2	in vitro;in vivo
PAK1	3995	AAC24716.1	ERBB2	1281	NP_004439.2	in vivo
DLG4	4199	NP_001356.1	ERBB2	1281	NP_004439.2	in vivo;yeast 2-hybrid
PIK3R2	4404	NP_005018.1	ERBB2	1281	NP_004439.2	in vivo
PTPN18	5961	NP_055184.2	ERBB2	1281	NP_004439.2	in vitro
ERBB2IP	6090	AAK69431.1	ERBB2	1281	NP_004439.2	in vitro;in vivo
SMURF2	6901	NP_073576.1	ARHGAP5	4060	NP_001025226.1	yeast 2-hybrid
NF2	6980	NP_000259.1	ERBB2	1281	NP_004439.2	in vitro;in vivo
CD82	9004	NP_002222.1	ERBB2	1281	NP_004439.2	in vivo
ERRFI1	9218	NP_061821.1	ERBB2	1281	NP_004439.2	in vitro;yeast 2-hybrid
MMP7	1525	NP_002414.1	CD44	115	NP_000601.3	in vitro;in vivo
TOB1	9273	NP_005740.1	ERBB2	1281	NP_004439.2	in vitro;in vivo
MUC4	11829	NP_060876.5	ERBB2	1281	NP_004439.2	in vivo
PICK1	16176	NP_036539.1	ERBB2	1281	NP_004439.2	in vitro;in vivo;yeast 2-hybrid
SMURF2	6901	NP_073576.1	TXNIP	5964	NP_006463.3	yeast 2-hybrid
DDX20	5859	NP_009135.4	ETV3	1282	NP_001138784.1	in vitro
TLE1	2557	NP_005068.2	FOXG1	1283	NP_005240.3	in vivo
TLE3	2558	NP_005069.2	FOXG1	1283	NP_005240.3	in vivo
HDAC1	3143	NP_004955.2	FOXG1	1283	NP_005240.3	in vitro;in vivo
SMAD1	3356	NP_005891.1	FOXG1	1283	NP_005240.3	in vivo
KDM5B	9251	NP_006609.3	FOXG1	1283	NP_005240.3	in vivo;yeast 2-hybrid
CD4	1740	NP_000607.1	CD44	115	NP_000601.3	in vitro
SMURF2	6901	NP_073576.1	DAB2	3139	NP_001334.2	yeast 2-hybrid
CBL	1320	NP_005179.2	VAV1	1284	NP_005419.2	in vitro;in vivo
PLCG1	1398	NP_002651.2	VAV1	1284	NP_005419.2	in vitro;in vivo
PRLR	1457	NP_000940.1	VAV1	1284	NP_005419.2	in vivo
TYK2	1490	NP_003322.3	VAV1	1284	NP_005419.2	in vivo
SMURF2	6901	NP_073576.1	DGCR2	8999	NP_005128.1	yeast 2-hybrid
MAPK1	1496	NP_002736.3	VAV1	1284	NP_005419.2	in vivo
VAV1	1284	NP_005419.2	RHOG	1537	NP_001656.2	in vitro
