id_biogrid_A	Interactor_A	id_biogrid_B	Interactor_B
112315	MAP2K4	108607	FLNC
124185	MYPN	106603	ACTN2
106605	ACVR1	108625	FNTA
108894	GATA2	111384	PML
112038	RPA2	112651	STAT3
106870	ARF1	116775	GGA3
106872	ARF3	117174	ARFIP2
106872	ARF3	118084	ARFIP1
119970	XRN1	106728	ALDOA
106848	APP	115769	APPBP2
106830	APLP1	107970	DAB1
115649	CITED2	112878	TFAP2A
108347	EP300	112878	TFAP2A
106835	APOB	110641	MTTP
106902	ARRB2	111836	RALGDS
107823	CSF1R	109142	GRB2
113646	PRRC2A	109142	GRB2
118104	LSM1	110758	NARS
112412	SLC4A1	116605	SLC4A1AP
107074	BCL3	107056	BARD1
106662	ADRB1	115978	GIPC1
107140	BRCA1	106956	ATF1
107140	BRCA1	110573	MSH2
107140	BRCA1	107056	BARD1
107140	BRCA1	109211	MSH6
106914	ARVCF	107448	CDH15
111125	PCBD1	107229	CACNA1C
111643	PSEN2	107273	CAPN1
107275	CAPN3	113124	TTN
109913	ITPR1	107222	CA8
114655	MAGI1	107880	CTNNB1
111860	RB1	107903	CUX1
113102	TSG101	107460	CDKN1A
111040	ORC1	110339	MCM2
111042	ORC4	110339	MCM2
110342	MCM5	110339	MCM2
113914	CDC7	110339	MCM2
111041	ORC2	110339	MCM2
112038	RPA2	110339	MCM2
116129	DBF4	110339	MCM2
115561	AKAP8	110339	MCM2
110339	MCM2	110339	MCM2
112037	RPA1	110339	MCM2
112039	RPA3	110339	MCM2
111043	ORC5	110339	MCM2
110340	MCM3	110339	MCM2
113366	YWHAZ	107428	CDC25A
123577	DOCK8	107433	CDC42
114733	TRIP10	107433	CDC42
107467	CDKN3	107452	CDK2
111867	RBBP8	111868	RBL1
114850	HAND2	107488	CENPB
107623	CLTC	114593	HGS
109707	IGFBP3	107674	COL1A1
113146	TXN	107674	COL1A1
107776	ATF2	110263	SMAD3
107776	ATF2	110264	SMAD4
107336	CCND3	118148	EIF3K
116131	RALBP1	107332	CCNB1
111475	PPIB	107269	CAMLG
107847	CSRP1	107847	CSRP1
107832	CSK	109854	INSR
107832	CSK	109701	IGF1R
108002	DCN	108276	EGFR
112384	SIM2	106898	ARNT
112383	SIM1	106898	ARNT
129335	NPAS4	106898	ARNT
108172	HBEGF	113498	ZBTB16
111142	PCNA	108014	GADD45A
116256	TOPBP1	113008	TOP2B
108605	FLNA	108148	DRD3
118105	LSM3	112519	SNRPE
117336	LSM4	112519	SNRPE
117180	LSM5	112519	SNRPE
108347	EP300	108278	EGR1
107777	CREBBP	108278	EGR1
110980	NUMA1	108349	EPB41
120007	EXOSC4	108237	EEF1A1
111351	PLCG1	108237	EEF1A1
110092	KTN1	108256	EEF1D
109992	KDR	106805	ANXA5
126361	PPARGC1B	108403	ESR1
112481	SMARCA4	108403	ESR1
122503	DDX54	108403	ESR1
108403	ESR1	119052	DNTTIP2
108551	FGFR1	108517	FDPS
112898	TGFB1	108625	FNTA
113188	SUMO1	106851	FAS
119675	MPP6	108789	FTL
113646	PRRC2A	108534	FGA
108605	FLNA	109894	ITGB1
108551	FGFR1	116030	FRS3
108840	GABRG2	116465	GABARAP
109072	SFN	109165	NR3C1
112899	TGFB1I1	109165	NR3C1
109165	NR3C1	116450	ECD
108915	GCK	111229	PFKFB2
109541	HSPA5	108135	DPH1
112405	SLC2A2	110036	KPNA2
112408	SLC2A4	107985	DAXX
