#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P20263	uniprotkb:P52480	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-647785|uniprotkb:Q3TBV8|uniprotkb:Q3TBW5|uniprotkb:Q3TC59|uniprotkb:Q3U1X3|uniprotkb:Q3U5P6|uniprotkb:Q4VC20|uniprotkb:Q64484|uniprotkb:Q91YI8|uniprotkb:Q9CWB1	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:kpym_mouse(display_long)|uniprotkb:Pkm(gene name)|psi-mi:Pkm(display_short)|uniprotkb:Pk3(gene name synonym)|uniprotkb:Pkm2(gene name synonym)|uniprotkb:Pykm(gene name synonym)|uniprotkb:Pyruvate kinase muscle isozyme(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2007)	pubmed:18191611	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1606211	intact-miscore:0.42
uniprotkb:P20263	uniprotkb:P52480	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-647785|uniprotkb:Q3TBV8|uniprotkb:Q3TBW5|uniprotkb:Q3TC59|uniprotkb:Q3U1X3|uniprotkb:Q3U5P6|uniprotkb:Q4VC20|uniprotkb:Q64484|uniprotkb:Q91YI8|uniprotkb:Q9CWB1	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:kpym_mouse(display_long)|uniprotkb:Pkm(gene name)|psi-mi:Pkm(display_short)|uniprotkb:Pk3(gene name synonym)|uniprotkb:Pkm2(gene name synonym)|uniprotkb:Pykm(gene name synonym)|uniprotkb:Pyruvate kinase muscle isozyme(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2007)	pubmed:18191611	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1606295	intact-miscore:0.42
uniprotkb:P20263	uniprotkb:P52480	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-647785|uniprotkb:Q3TBV8|uniprotkb:Q3TBW5|uniprotkb:Q3TC59|uniprotkb:Q3U1X3|uniprotkb:Q3U5P6|uniprotkb:Q4VC20|uniprotkb:Q64484|uniprotkb:Q91YI8|uniprotkb:Q9CWB1	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:kpym_mouse(display_long)|uniprotkb:Pkm(gene name)|psi-mi:Pkm(display_short)|uniprotkb:Pk3(gene name synonym)|uniprotkb:Pkm2(gene name synonym)|uniprotkb:Pykm(gene name synonym)|uniprotkb:Pyruvate kinase muscle isozyme(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2007)	pubmed:18191611	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1606256	intact-miscore:0.42
uniprotkb:P52480	uniprotkb:P20263	intact:EBI-647785|uniprotkb:Q3TBV8|uniprotkb:Q3TBW5|uniprotkb:Q3TC59|uniprotkb:Q3U1X3|uniprotkb:Q3U5P6|uniprotkb:Q4VC20|uniprotkb:Q64484|uniprotkb:Q91YI8|uniprotkb:Q9CWB1	intact:EBI-1606219|uniprotkb:Q63843	psi-mi:kpym_mouse(display_long)|uniprotkb:Pkm(gene name)|psi-mi:Pkm(display_short)|uniprotkb:Pk3(gene name synonym)|uniprotkb:Pkm2(gene name synonym)|uniprotkb:Pykm(gene name synonym)|uniprotkb:Pyruvate kinase muscle isozyme(gene name synonym)	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lee et al. (2007)	pubmed:18191611	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1606279	intact-miscore:0.42
uniprotkb:P20263	uniprotkb:P52480	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-647785|uniprotkb:Q3TBV8|uniprotkb:Q3TBW5|uniprotkb:Q3TC59|uniprotkb:Q3U1X3|uniprotkb:Q3U5P6|uniprotkb:Q4VC20|uniprotkb:Q64484|uniprotkb:Q91YI8|uniprotkb:Q9CWB1	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:kpym_mouse(display_long)|uniprotkb:Pkm(gene name)|psi-mi:Pkm(display_short)|uniprotkb:Pk3(gene name synonym)|uniprotkb:Pkm2(gene name synonym)|uniprotkb:Pykm(gene name synonym)|uniprotkb:Pyruvate kinase muscle isozyme(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2007)	pubmed:18191611	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1606607	intact-miscore:0.42
uniprotkb:P20263	uniprotkb:P52480	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-647785|uniprotkb:Q3TBV8|uniprotkb:Q3TBW5|uniprotkb:Q3TC59|uniprotkb:Q3U1X3|uniprotkb:Q3U5P6|uniprotkb:Q4VC20|uniprotkb:Q64484|uniprotkb:Q91YI8|uniprotkb:Q9CWB1	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:kpym_mouse(display_long)|uniprotkb:Pkm(gene name)|psi-mi:Pkm(display_short)|uniprotkb:Pk3(gene name synonym)|uniprotkb:Pkm2(gene name synonym)|uniprotkb:Pykm(gene name synonym)|uniprotkb:Pyruvate kinase muscle isozyme(gene name synonym)	"psi-mi:""MI:0663""(confocal microscopy)"	Lee et al. (2007)	pubmed:18191611	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0403""(colocalization)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1606630	intact-miscore:0.42
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1606977	intact-miscore:0.44
uniprotkb:Q61545	uniprotkb:P20263	intact:EBI-1606991|uniprotkb:Q9D2P0	intact:EBI-1606219|uniprotkb:Q63843	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607029	intact-miscore:0.44
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607041	intact-miscore:0.44
uniprotkb:Q61545	uniprotkb:P20263	intact:EBI-1606991|uniprotkb:Q9D2P0	intact:EBI-1606219|uniprotkb:Q63843	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607351	intact-miscore:0.44
